,Quantity,Item Price,Shipping-Price,Total,Profit %,Profit (INR),Cost Price,clusters,cluster
3229,1,248.0,89.0,337.0,18,44.64,203.36,2,dark purple
3230,1,612.0,89.0,701.0,13,79.56,532.44,3,black
3231,1,199.0,89.0,288.0,13,25.87,173.13,2,dark purple
3232,1,612.0,89.0,701.0,13,79.56,532.44,3,black
3233,1,612.0,89.0,701.0,13,79.56,532.44,3,black
3234,1,638.5,89.0,727.5,13,83.005,555.495,3,black
3235,1,612.0,79.0,691.0,13,79.56,532.44,3,black
3236,1,140.0,89.0,229.0,18,25.2,114.8,2,dark purple
3237,1,192.0,89.0,281.0,18,34.56,157.44,2,dark purple
3238,1,192.0,89.0,281.0,18,34.56,157.44,2,dark purple
3239,1,140.0,89.0,229.0,18,25.2,114.8,2,dark purple
3240,1,192.0,89.0,281.0,18,34.56,157.44,2,dark purple
3241,1,192.0,89.0,281.0,18,34.56,157.44,2,dark purple
3242,1,192.0,89.0,281.0,18,34.56,157.44,2,dark purple
3243,1,110.0,89.0,199.0,18,19.8,90.2,2,dark purple
3244,1,140.0,89.0,229.0,18,25.2,114.8,2,dark purple
3245,1,140.0,89.0,229.0,18,25.2,114.8,2,dark purple
3246,1,350.0,90.0,440.0,17,59.5,290.5,0,pink
3247,1,753.0,89.0,842.0,13,97.89,655.11,3,black
3248,1,142.45,89.0,231.45,18,25.641,116.809,2,dark purple
3249,1,192.0,89.0,281.0,18,34.56,157.44,2,dark purple
3250,1,192.0,89.0,281.0,18,34.56,157.44,2,dark purple
3251,1,192.0,89.0,281.0,18,34.56,157.44,2,dark purple
3252,1,399.0,89.0,488.0,13,51.87,347.13,0,pink
3253,1,192.0,89.0,281.0,18,34.56,157.44,2,dark purple
3254,1,192.0,89.0,281.0,18,34.56,157.44,2,dark purple
3255,1,140.0,89.0,229.0,18,25.2,114.8,2,dark purple
3256,2,1180.0,79.0,1259.0,13,153.4,1026.6,1,purple
3257,1,192.0,89.0,281.0,18,34.56,157.44,2,dark purple
3258,1,192.0,89.0,281.0,18,34.56,157.44,2,dark purple
3259,1,140.0,79.0,219.0,18,25.2,114.8,2,dark purple
3260,1,192.0,89.0,281.0,18,34.56,157.44,2,dark purple
3261,1,192.0,89.0,281.0,18,34.56,157.44,2,dark purple
3262,1,140.0,79.0,219.0,18,25.2,114.8,2,dark purple
3263,1,192.0,89.0,281.0,18,34.56,157.44,2,dark purple
3264,1,192.0,89.0,281.0,18,34.56,157.44,2,dark purple
3265,1,192.0,89.0,281.0,18,34.56,157.44,2,dark purple
3266,1,192.0,79.0,271.0,18,34.56,157.44,2,dark purple
3267,1,192.0,89.0,281.0,18,34.56,157.44,2,dark purple
3268,1,192.0,89.0,281.0,18,34.56,157.44,2,dark purple
3269,1,192.0,89.0,281.0,18,34.56,157.44,2,dark purple
3270,1,192.0,89.0,281.0,18,34.56,157.44,2,dark purple
3271,1,192.0,89.0,281.0,18,34.56,157.44,2,dark purple
3272,1,720.0,89.0,809.0,18,129.6,590.4,3,black
3273,1,110.0,79.0,189.0,18,19.8,90.2,2,dark purple
3274,1,110.0,79.0,189.0,18,19.8,90.2,2,dark purple
3275,1,140.0,89.0,229.0,18,25.2,114.8,2,dark purple
3276,1,192.0,89.0,281.0,18,34.56,157.44,2,dark purple
3277,1,140.0,89.0,229.0,18,25.2,114.8,2,dark purple
